Item name,Count
?Double Decker? The Club Veg,12.6
?It?s Corny? Corn Cheese Sandwich,34.4
?OO La La? Chilli Cheese Sandwich,36.4
A Clear Sunrise (2 Egg Sunny Side Up),4.2
Americano,4.4
Black Assam Tea,1.6
Cafe Latte,13.6
Cafe Mocha,8.2
Cantonese Style Noodle Puffs,9.2
Cappuccino,21.4
Captain Cold Mocha,1.2
Caremelcino,5.2
Cheese Corn Nugs 8pcs,7.4
Chilli Cheese Poppers,6.2
Chilli Cheese Toast,27
Classic Tomato Mozzarella,0.4
Coke Can (300 Ml),15.8
Coke Zero Can,7.6
Cold Caramel Coffee,2.4
Cold Coffee,40.4
"Cottage Cheese, Seasoned Veggies, Baked Roll",17.4
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",6.4
Crunch It,29.8
Desi Aloo Butter Grilled Sandwich,23
Desi Aloo Samosa With Ketchup,11
Desi Chatpata Aloo Puffs,12.6
Diet Coke Can,47
Double Eye Opener,2.6
Egg-Cellent Bhurji (2 Egg butter Bhurji),6.4
"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",24.2
Fanta Can,10.4
Filter Coffee,4.6
Flaky Paneer Tikka Puffs,6.8
French Fries Peri Peri,62
French Fries Salted,21
Garlic Bread,7.2
Garlic Bread With Cheese,26.8
Ghar Ke Jaisa (2 Egg Masala Omelette),8.4
Glass of Coke,90.8
Glass of Fanta,23.8
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",5
Green Tea,5.8
Iced Coffee(Black hot Coffee With Ice),1.8
Kashmiri Kawah,1.4
Lebanese Falafel Kebab,1.2
Lemon Iced Tea,24.8
Limca Can (300 ml),19.6
"Manchurian Ball, Baked Roll",24.4
Masala Chaas,29.6
Masala Chai,27.8
Masaledar Paneer Sandwich,14.4
Mexican Pizza Puffers,10
Monster Energy Drink,3.4
Monster Ultra Zero Sugar,4.8
Mr. Hazelnut (Classic Nutella Grilled with Butter),13.6
Mr. Robusta Shake (Banana Shake),0.2
Nachos With Salsa,19.4
Nasty Nutella Waffle with Vanilla Ice Cream,13
Peach Iced Tea,24
Pineapple Juice,4
Red Bull Green Dragon Fruit,4.8
Red Bull Red Watermelon,0.2
Red Bull Regular,10
Red Bull Sugarfree,1.6
Red Bull Yellow Tropical Fruit,1
Shikanji,0.4
Single Eye Opener,1.4
Sprite Can (300 ml),33.6
Streetology,46.8
Sweet Lassi,14.4
Swiss Milk Chocolate Cookies,2.2
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",17.8
The ?BASIC? Chutney Cheese Plain Sandwich,3
The Big B,7.2
The Salty Melon Juice,16
The Sun Downer (2 Egg Fried Egg),0.4
Thumbs Up  Can - 300 ml,49
Veggie Pizza Finger 6pcs,2.6
Water Bottle,33.8
Water Melon Juice,11.6
