Item name,Count
?Double Decker? The Club Veg,32.8
?It?s Corny? Corn Cheese Sandwich,111
?OO La La? Chilli Cheese Sandwich,146.4
A Clear Sunrise (2 Egg Sunny Side Up),11.8
Americano,13
Black Assam Tea,4.8
Boiled Egg ( 02 Pieces),0.2
Cafe Latte,15
Cafe Mocha,6
Cantonese Style Noodle Puffs,40.6
Cappuccino,31.8
Captain Cold Mocha,11
Caremelcino,7.2
Charged - Energy Drink (300 ml),1.4
Cheese Corn Nugs 8pcs,15.2
Chicken Popcorn,12.2
Chicken Seek Kebab,0.2
Chilli Cheese Poppers,16.2
Chilli Cheese Toast,73.2
Coke Can (300 Ml),94.2
Coke Zero Can,43.2
Cold Caramel Coffee,12.2
Cold Coffee,113.2
"Cottage Cheese, Seasoned Veggies, Baked Roll",49.4
Creamy Chicken Melts Sandwich,1
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",27.2
Crunch It,79.6
D.F.C Delice Fired Chicken (Signature fired chicken) 4pcs,1.6
Desi Aloo Butter Grilled Sandwich,64.8
Desi Aloo Samosa With Ketchup,9
Desi Chatpata Aloo Puffs,60.2
Diet Coke Can,87
Double Eye Opener,5.2
Egg-Cellent Bhurji (2 Egg butter Bhurji),19.6
"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",42.8
Fanta Can,53.8
Filter Coffee,20.8
Flaky Paneer Tikka Puffs,28.4
French Fries Peri Peri,124.2
French Fries Salted,47.6
Garlic Bread,36.4
Garlic Bread With Cheese,124.4
Ghar Ke Jaisa (2 Egg Masala Omelette),40.4
Glass of Coke,110.8
Glass of Sprite,29.4
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",20.6
Green Tea,6.8
Iced Coffee(Black hot Coffee With Ice),17
Italian Chicken Discs 5pcs,1.4
Kashmiri Kawah,5
Lemon Iced Tea,65.8
Limca Can (300 ml),30.6
"Manchurian Ball, Baked Roll",57.4
Masala Chaas,59
Masala Chai,124.4
Masaledar Paneer Sandwich,61.8
Mexican Pizza Puffers,30.8
Monster Energy Drink,11.6
Monster Ultra Zero Sugar,11.8
Mr. Hazelnut (Classic Nutella Grilled with Butter),40.4
Mr. Robusta Shake (Banana Shake),5.6
Nachos With Salsa,10.6
Nasty Nutella Waffle with Vanilla Ice Cream,26
Naughty Nutella Latte,0.8
Orange Juice,1.4
Peach Iced Tea,57
Pineapple Juice,13.2
Predator - Energy Drink (300 ml),9.8
Red Bull Green Dragon Fruit,11
Red Bull Red Watermelon,0.2
Red Bull Regular,35.2
Red Bull Sugarfree,2.6
Red Bull Yellow Tropical Fruit,5
Roasted Cumin Savoury Cookies,0.2
Shikanji,15.4
Single Eye Opener,4.6
Sprite Can (300 ml),54.8
Streetology,100.8
Sweet Lassi,33.8
Swiss Milk Chocolate Cookies,2.2
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",51.6
The ?BASIC? Chutney Cheese Plain Sandwich,6.6
The Big B,15
The Ragnar? Burger,32.4
The Salty Melon Juice,13.8
The Sun Downer (2 Egg Fried Egg),4.8
Thumbs Up  Can - 300 ml,108.2
Veggie Pizza Finger 6pcs,8.6
Water Bottle,112.2
Water Melon Juice,20
