Item name,Count
?Double Decker? The Club Not So Veg,0.2
?Double Decker? The Club Veg,48.4
?It?s Corny? Corn Cheese Sandwich,117.2
?OO La La? Chilli Cheese Sandwich,154
A Clear Sunrise (2 Egg Sunny Side Up),9
Americano,17.8
Black Assam Tea,16.2
Cafe Latte,8.2
Cafe Mocha,4.8
Cantonese Style Noodle Puffs,62.4
Cappuccino,48.8
Captain Cold Mocha,1.4
Caremelcino,8.6
Cheese Corn Nugs 8pcs,14.2
Chicken Popcorn,30.8
Chicken Popcorn 12pcs,9
Chicken Seek Kebab,4.4
Chicken Seek Kebab 5pcs,1.4
Chilli Cheese Poppers,13.2
Chilli Cheese Poppers 8pcs,6.4
Chilli Cheese Toast,122
Coke Can (300 Ml),21.4
Coke Zero Can,28.6
Cold Caramel Coffee,12.6
Cold Coffee,144
"Cottage Cheese, Seasoned Veggies, Baked Roll",62.4
Creamy Chicken Melts Sandwich,1.4
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",53.8
Crunch It,87.2
D.F.C Delice Fired Chicken (Signature fired chicken) 4pcs,5.4
Desi Aloo Butter Grilled Sandwich,75.8
Desi Aloo Samosa With Ketchup,14
Desi Aloo Samosa With Ketchup 5pcs,4.6
Desi Chatpata Aloo Puffs,43.4
Diet Coke Can,83.2
Double Eye Opener,5.8
Egg Kejriwal,4.2
Egg-Cellent Bhurji (2 Egg butter Bhurji),34.6
"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",60.8
Fanta Can,40.8
Filter Coffee,33
Flaky Paneer Tikka Puffs,39.6
French Fries Peri Peri,155.6
French Fries Salted,39
Garlic Bread,55
Garlic Bread With Cheese,115.2
Ghar Ke Jaisa (2 Egg Masala Omelette),19
Ghar Ke Jaisa (2 Egg Masala Omlette),20.6
Glass of Coke,277.4
Glass of Sprite,88
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",25.2
Green Tea,13
Iced Coffee(Black hot Coffee With Ice),34.4
Italian Chicken Discs 5pcs,3.6
Kashmiri Kawah,7.4
Lebanese Falafel Kebab,4
Lemon Iced Tea,124.4
"Manchurian Ball, Baked Roll",59.8
Masala Chaas,4.4
Masala Chai,126.4
Masaledar Paneer Sandwich,79.8
Mexican Pizza Puffers,23
Mexican Pizza Puffets,12
Monster Energy Drink,21.6
Monster Ultra Zero Sugar,7
Monster Ultra Zero Suger,5.4
Mr. Hazelnut (Classic Nutella Grilled with Butter),35.4
Mr. Hazzelnut (Classic Nuttela Grilled with Butter),14.4
Nachos With Salsa,15.2
Nasty Nutella Waffle with Vanilla Ice Cream,5.2
Peach Iced Tea,61.8
Red Bull Green Dragon Fruit,18.2
Red Bull Regular,45
Red Bull Sugarfree,9
Red Bull Yellow Tropical Fruit,7.8
Roasted Cumin Savoury Cookies,2.2
Shikanji,26.6
Single Eye Opener,2.8
Sprite Can (300 ml),34.2
Streetology,98.6
Swiss Milk Chocolate Cookies,16.6
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",46.8
The ?BASIC? Chutney Cheese Plain Sandwich,19.8
The Big B,13.8
The Ragnar? Burger,25.2
The Regnarok Burger,18.4
The Sun Downer (2 Egg Fried Egg),5.6
Thumbs Up  Can - 300 ml,124.6
Veggie Pizza Finger 6pcs,25.2
Water Bottle,101.8
