Item name,Count
Cold Coffee,50
Glass of Coke,43
French Fries Peri Peri,37
Masala Chai,26
Thumbs Up  Can - 300 ml,25
?t? Corny?Corn Cheese Sandwich,25
Lemon Iced Tea,23
Water Bottle,22
Coke Zero Can,20
Chilli Cheese Toast,19
Streetology,19
Peach Iced Tea,18
Cantonese Style Noodle Puffs,16
Fanta Can,16
?O La La?Chilli Cheese Sandwich,16
Glass of Sprite,15
Red Bull Regular,13
"Cottage Cheese, Seasoned Veggies, Baked Roll",12
Masaledar Paneer Sandwich,11
Iced Coffee(Black hot Coffee With Ice),10
Desi Aloo Butter Grilled Sandwich,10
?ouble Decker?The Club Veg,10
French Fries Salted,10
Garlic Bread With Cheese,10
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",10
Cheese Corn Nugs 8pcs,8
Captain Cold Mocha,7
Desi Chatpata Aloo Puffs,7
Mr. Hazzelnut (Classic Nuttela Grilled with Butter),7
Garlic Bread,7
Crunch It,7
"Manchurian Ball, Baked Roll",6
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",6
Pineapple Juice,5
Hazelnut Frappe 200ml,5
Shikanji,5
Cold Caramel Coffee,5
Nachos With Salsa,4
The ?ASIC?Chutney Cheese Plain Sandwich,4
Monster Ultra Zero Suger,4
Chicken Popcorn 12pcs,4
Red Bull Yellow Tropical Fruit,4
The Big B,4
Flaky Paneer Tikka Puffs,4
Double Eye Opener,3
Naughty Nutella Latte,3
Cappuccino,3
Desi Aloo Samosa With Ketchup 5pcs,3
Kashmiri Kawah,3
Monster Energy Drink,3
Red Bull Sugarfree,3
Chilli Cheese Poppers 8pcs,3
Sweet Lassi,3
Cafe Mocha,3
Veggie Pizza Finger 6pcs,3
Red Bull Green Dragon Fruit,2
"English Soft Pancakes, Berry Compote, French Chantilly Cr?e.(Eggless)",2
Egg-Cellent Bhurji (2 Egg butter Bhurji),2
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",2
Mexican Pizza Puffets,2
Diet Coke Can,2
D.F.C Delice Fired Chicken (Signature fired chicken) 4pcs,2
Italian Chicken Discs 5pcs,2
Filter Coffee,2
Swiss Milk Chocolate Cookies,2
Lebanese Falafel Kebab 8pcs,1
Egg Kejriwal,1
Ghar Ke Jaisa (2 Egg Masala Omlette),1
Americano,1
?ey Jimmy?Buttery Jim Jam,1
A Clear Sunrise (2 Egg Sunny Side Up),1
The Regnarok Burger,1
Mr. Robusta Shake (Banana Shake),1
Masala Chaas,1
Green Tea,1
Count,652
