Item name,Count
Glass of Coke,30
French Fries Peri Peri,26
"Cottage Cheese, Seasoned Veggies, Baked Roll",25
Thumbs Up  Can - 300 ml,24
?It?s Corny? Corn Cheese Sandwich,22
Water Bottle,21
Streetology,16
Masala Chai,16
Cold Coffee,14
Masaledar Paneer Sandwich,14
Desi Aloo Butter Grilled Sandwich,14
Cappuccino,13
Diet Coke Can,13
Limca Can (300 ml),13
Chilli Cheese Toast,13
?OO La La? Chilli Cheese Sandwich,11
Sprite Can (300 ml),11
Glass of Fanta,10
Garlic Bread With Cheese,10
Coke Can (300 Ml),10
Cantonese Style Noodle Puffs,9
"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",9
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",8
Desi Chatpata Aloo Puffs,8
?Double Decker? The Club Veg,8
"Manchurian Ball, Baked Roll",7
Cafe Mocha,7
Peach Iced Tea,7
French Fries Salted,7
Lemon Iced Tea,6
Mr. Hazelnut (Classic Nutella Grilled with Butter),6
Coke Zero Can,6
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",6
Red Bull Regular,5
Nasty Nutella Waffle with Vanilla Ice Cream,5
Red Bull Green Dragon Fruit,5
Egg-Cellent Bhurji (2 Egg butter Bhurji),4
Mexican Pizza Puffers,4
Caremelcino,4
Desi Aloo Samosa With Ketchup,4
Ghar Ke Jaisa (2 Egg Masala Omelette),4
The Salty Melon Juice,4
Flaky Paneer Tikka Puffs,3
Crunch It,3
Filter Coffee,3
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",3
Shikanji,3
Masala Chaas,3
Sweet Lassi,3
Water Melon Juice,3
A Clear Sunrise (2 Egg Sunny Side Up),3
Veggie Pizza Finger 6pcs,2
Red Bull Yellow Tropical Fruit,2
Green Tea,2
Fanta Can,2
Cheese Corn Nugs 8pcs,2
The ?BASIC? Chutney Cheese Plain Sandwich,2
Monster Energy Drink,1
Chilli Cheese Poppers,1
Captain Cold Mocha,1
Cafe Latte,1
Americano,1
Single Eye Opener,1
Red Bull Sugarfree,1
The Big B,1
Swiss Milk Chocolate Cookies,1
Iced Coffee(Black hot Coffee With Ice),1
Double Eye Opener,1
