Item name,Count
Glass of Coke,107
?OO La La? Chilli Cheese Sandwich,42
?It?s Corny? Corn Cheese Sandwich,37
Chilli Cheese Toast,36
Water Bottle,30
Thumbs Up  Can - 300 ml,30
French Fries Peri Peri,28
Diet Coke Can,26
Cappuccino,25
"Manchurian Ball, Baked Roll",23
Streetology,21
Masala Chai,21
Glass of Sprite,20
Garlic Bread With Cheese,20
"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",19
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",19
Cold Coffee,19
Nasty Nutella Waffle with Vanilla Ice Cream,18
Masala Chaas,16
Desi Aloo Butter Grilled Sandwich,16
Cantonese Style Noodle Puffs,16
Peach Iced Tea,16
Captain Cold Mocha,16
Crunch It,15
?Double Decker? The Club Veg,15
Ghar Ke Jaisa (2 Egg Masala Omelette),14
"Cottage Cheese, Seasoned Veggies, Baked Roll",14
Fanta Can,13
Red Bull Regular,13
Lemon Iced Tea,13
Desi Chatpata Aloo Puffs,12
Cafe Latte,11
Masaledar Paneer Sandwich,10
Limca Can (300 ml),9
Cold Caramel Coffee,9
Caremelcino,9
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",8
Desi Aloo Samosa With Ketchup,8
A Clear Sunrise (2 Egg Sunny Side Up),8
Cafe Mocha,8
Filter Coffee,7
Red Bull Green Dragon Fruit,7
Garlic Bread,7
Sprite Can (300 ml),7
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",6
Egg-Cellent Bhurji (2 Egg butter Bhurji),6
Americano,6
Sweet Lassi,5
Glass of Fanta,5
Mr. Hazelnut (Classic Nutella Grilled with Butter),5
Monster Energy Drink,5
The Big B,5
Chilli Cheese Poppers,5
Mexican Pizza Puffers,4
The Salty Melon Juice,4
Cheese Corn Nugs 8pcs,4
Green Tea,3
Water Melon Juice,3
Red Bull Sugarfree,3
Iced Coffee(Black hot Coffee With Ice),3
Swiss Milk Chocolate Cookies,3
Monster Ultra Zero Sugar,3
Coke Zero Can,3
French Fries Salted,3
Double Eye Opener,2
Pineapple Juice,1
The ?BASIC? Chutney Cheese Plain Sandwich,1
Roasted Cumin Savoury Cookies,1
Red Bull Yellow Tropical Fruit,1
Veggie Pizza Finger 6pcs,1
Flaky Paneer Tikka Puffs,1
