Item name,Count
Glass of Coke,61
Streetology,32
Thumbs Up  Can - 300 ml,23
"Manchurian Ball, Baked Roll",23
Water Bottle,22
Masala Chai,20
?OO La La? Chilli Cheese Sandwich,19
Lemon Iced Tea,19
French Fries Peri Peri,18
Garlic Bread With Cheese,17
Cold Coffee,17
"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",16
?It?s Corny? Corn Cheese Sandwich,16
Cantonese Style Noodle Puffs,15
Diet Coke Can,15
Crunch It,14
Sprite Can (300 ml),13
Peach Iced Tea,12
Fanta Can,12
Masaledar Paneer Sandwich,12
Coke Can (300 Ml),12
"Cottage Cheese, Seasoned Veggies, Baked Roll",11
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",11
Desi Chatpata Aloo Puffs,11
Mr. Hazelnut (Classic Nutella Grilled with Butter),11
Cappuccino,10
Chilli Cheese Toast,10
Egg-Cellent Bhurji (2 Egg butter Bhurji),10
Glass of Sprite,9
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",9
Desi Aloo Butter Grilled Sandwich,8
The Ragnar? Burger,8
Monster Energy Drink,6
Cafe Latte,6
Limca Can (300 ml),6
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",6
Coke Zero Can,6
Cheese Corn Nugs 8pcs,5
Nasty Nutella Waffle with Vanilla Ice Cream,5
Mexican Pizza Puffers,5
Veggie Pizza Finger 6pcs,4
Flaky Paneer Tikka Puffs,4
Ghar Ke Jaisa (2 Egg Masala Omelette),4
Captain Cold Mocha,4
The ?BASIC? Chutney Cheese Plain Sandwich,4
Predator - Energy Drink (300 ml),4
Chicken Popcorn,4
Cafe Mocha,4
Filter Coffee,4
Monster Ultra Zero Sugar,3
Desi Aloo Samosa With Ketchup,3
Chilli Cheese Poppers,3
Iced Coffee(Black hot Coffee With Ice),3
Single Eye Opener,3
Red Bull Regular,3
Garlic Bread,3
Shikanji,3
?Double Decker? The Club Veg,3
Nachos With Salsa,3
Cold Caramel Coffee,3
A Clear Sunrise (2 Egg Sunny Side Up),2
Naughty Nutella Latte,2
Italian Chicken Discs 5pcs,2
Sweet Lassi,2
The Big B,2
Masala Chaas,2
Green Tea,2
Charged - Energy Drink (300 ml),1
?Hey Jimmy? Buttery Jim Jam,1
Caremelcino,1
Red Bull Green Dragon Fruit,1
Red Bull Yellow Tropical Fruit,1
Double Eye Opener,1
Black Assam Tea,1
Orange Juice,1
The Sun Downer (2 Egg Fried Egg),1
