Item name,Count
Glass of Coke,95
Cold Coffee,50
Water Bottle,41
Thumbs Up  Can - 300 ml,41
?OO La La? Chilli Cheese Sandwich,37
Glass of Sprite,37
Streetology,36
Lemon Iced Tea,35
Masala Chai,35
Garlic Bread With Cheese,33
?It?s Corny? Corn Cheese Sandwich,32
Diet Coke Can,32
Desi Aloo Butter Grilled Sandwich,28
French Fries Peri Peri,22
Peach Iced Tea,21
Red Bull Regular,21
Cantonese Style Noodle Puffs,20
Sprite Can (300 ml),19
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",18
"Manchurian Ball, Baked Roll",17
"Cottage Cheese, Seasoned Veggies, Baked Roll",17
Fanta Can,15
Desi Chatpata Aloo Puffs,15
Cheese Corn Nugs 8pcs,15
Garlic Bread,14
Crunch It,14
Red Bull Green Dragon Fruit,13
Filter Coffee,11
Coke Zero Can,11
Chilli Cheese Toast,11
Masaledar Paneer Sandwich,10
Egg-Cellent Bhurji (2 Egg butter Bhurji),9
Mr. Hazelnut (Classic Nutella Grilled with Butter),9
Veggie Pizza Finger 6pcs,8
Shikanji,8
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",7
Monster Energy Drink,7
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",7
Coke Can (300 Ml),7
"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",6
Green Tea,6
Cappuccino,6
Mr. Hazzelnut (Classic Nuttela Grilled with Butter),6
Flaky Paneer Tikka Puffs,6
Mexican Pizza Puffets,5
Swiss Milk Chocolate Cookies,5
Desi Aloo Samosa With Ketchup 5pcs,5
Monster Ultra Zero Sugar,4
Chicken Popcorn,4
Iced Coffee(Black hot Coffee With Ice),4
Red Bull Yellow Tropical Fruit,4
The ?BASIC? Chutney Cheese Plain Sandwich,4
Chilli Cheese Poppers,4
The Regnarok Burger,4
?Double Decker? The Club Veg,4
Cafe Latte,3
Chilli Cheese Poppers 8pcs,3
Ghar Ke Jaisa (2 Egg Masala Omelette),3
Mexican Pizza Puffers,3
Black Assam Tea,3
A Clear Sunrise (2 Egg Sunny Side Up),2
Americano,2
Chicken Popcorn 12pcs,2
French Fries Salted,2
Monster Ultra Zero Suger,2
The Big B,2
The Ragnar? Burger,1
Chicken Seek Kebab 5pcs,1
Nachos With Salsa,1
Kashmiri Kawah,1
