Item name,Weekdays,Weekend
Black Assam Tea,21.0,4
Cafe Latte,68.8,22
Cafe Mocha,41.2,29
Cappuccino,232.2,70
Captain Cold Mocha,81.8,29
Caremelcino,29.2,18
Charged - Energy Drink (300 ml),1.4,1
Coke Can (300 Ml),147.20000000000002,39
Coke Zero Can,141.2,52
Cold Caramel Coffee,68.8,17
Cold Coffee,554.4,164
Diet Coke Can,393.6,101
Double Eye Opener,28.8,8
Fanta Can,184.79999999999998,60
Filter Coffee,104.0,30
Glass of Coke,1007.8,366
Glass of Sprite,185.8,81
Green Tea,52.0,16
Iced Coffee(Black hot Coffee With Ice),105.19999999999999,22
Lemon Iced Tea,409.0,102
Limca Can (300 ml),112.0,41
Masala Chaas,212.2,25
Masala Chai,535.4,134
Monster Energy Drink,64.0,23
Monster Ultra Zero Sugar,32.6,10
Naughty Nutella Latte,7.3999999999999995,5
Orange Juice,1.4,1
Peach Iced Tea,300.8,81
Predator - Energy Drink (300 ml),9.8,4
Red Bull Green Dragon Fruit,71.8,33
Red Bull Regular,170.2,60
Red Bull Yellow Tropical Fruit,25.2,14
Shikanji,64.2,22
Single Eye Opener,7.3999999999999995,5
Sprite Can (300 ml),206.0,61
Sweet Lassi,109.0,16
Thumbs Up  Can - 300 ml,509.6,167
Water Bottle,454.0,157
