Item name,Weekdays,Weekend
Cafe Mocha,7.8,3
Cappuccino,48.6,3
Captain Cold Mocha,17.4,7
Coke Zero Can,25.0,20
Cold Caramel Coffee,21.4,5
Cold Coffee,133.2,50
Diet Coke Can,53.4,2
Double Eye Opener,9.4,3
Fanta Can,35.0,16
Filter Coffee,22.6,2
Glass of Coke,142.6,43
Glass of Sprite,37.8,15
Green Tea,12.6,1
Iced Coffee(Black hot Coffee With Ice),32.8,10
Lemon Iced Tea,95.0,23
Masala Chaas,21.2,1
Masala Chai,122.4,26
Monster Energy Drink,11.0,3
Naughty Nutella Latte,6.6,3
Peach Iced Tea,84.6,18
Red Bull Green Dragon Fruit,16.8,2
Red Bull Regular,32.2,13
Red Bull Yellow Tropical Fruit,7.2,4
Shikanji,21.4,5
Sweet Lassi,4.8,3
Thumbs Up  Can - 300 ml,58.0,25
Water Bottle,69.4,22
Black Assam Tea,16.2,3
Cafe Latte,8.2,3
Cappuccino,48.8,6
Coke Can (300 Ml),21.4,7
Coke Zero Can,28.6,11
Cold Coffee,144.0,50
Diet Coke Can,83.2,32
Fanta Can,40.8,15
Filter Coffee,33.0,11
Glass of Coke,277.4,95
Glass of Sprite,88.0,37
Green Tea,13.0,6
Iced Coffee(Black hot Coffee With Ice),34.4,4
Lemon Iced Tea,124.4,35
Masala Chai,126.4,35
Monster Energy Drink,21.6,7
Monster Ultra Zero Sugar,7.0,4
Peach Iced Tea,61.8,21
Red Bull Green Dragon Fruit,18.2,13
Red Bull Regular,45.0,21
Red Bull Yellow Tropical Fruit,7.8,4
Shikanji,26.6,8
Sprite Can (300 ml),34.2,19
Thumbs Up  Can - 300 ml,124.6,41
Water Bottle,101.8,41
Black Assam Tea,4.8,1
Cafe Latte,15.0,6
Cafe Mocha,6.0,4
Cappuccino,31.8,10
Captain Cold Mocha,11.0,4
Caremelcino,7.2,1
Charged - Energy Drink (300 ml),1.4,1
Coke Can (300 Ml),94.2,12
Coke Zero Can,43.2,6
Cold Caramel Coffee,12.2,3
Cold Coffee,113.2,17
Diet Coke Can,87.0,15
Double Eye Opener,5.2,1
Fanta Can,53.8,12
Filter Coffee,20.8,4
Glass of Coke,110.8,61
Glass of Sprite,29.4,9
Green Tea,6.8,2
