Item name,Weekdays,Weekend
Black Assam Tea,4.8,1
Cafe Latte,15.0,6
Cafe Mocha,6.0,4
Cappuccino,31.8,10
Captain Cold Mocha,11.0,4
Caremelcino,7.2,1
Charged - Energy Drink (300 ml),1.4,1
Coke Can (300 Ml),94.2,12
Coke Zero Can,43.2,6
Cold Caramel Coffee,12.2,3
Cold Coffee,113.2,17
Diet Coke Can,87.0,15
Double Eye Opener,5.2,1
Fanta Can,53.8,12
Filter Coffee,20.8,4
Glass of Coke,110.8,61
Glass of Sprite,29.4,9
Green Tea,6.8,2
Iced Coffee(Black hot Coffee With Ice),17.0,3
Lemon Iced Tea,65.8,19
Limca Can (300 ml),30.6,6
Masala Chaas,59.0,2
Masala Chai,124.4,20
Monster Energy Drink,11.6,6
Monster Ultra Zero Sugar,11.8,3
Naughty Nutella Latte,0.8,2
Orange Juice,1.4,1
Peach Iced Tea,57.0,12
Predator - Energy Drink (300 ml),9.8,4
Red Bull Green Dragon Fruit,11.0,1
Red Bull Regular,35.2,3
Red Bull Yellow Tropical Fruit,5.0,1
Shikanji,15.4,3
Single Eye Opener,4.6,3
Sprite Can (300 ml),54.8,13
Sweet Lassi,33.8,2
Thumbs Up  Can - 300 ml,108.2,23
Water Bottle,112.2,22
