Item name,Weekdays,Weekend
Black Assam Tea,16.2,3
Cafe Latte,8.2,3
Cappuccino,48.8,6
Coke Can (300 Ml),21.4,7
Coke Zero Can,28.6,11
Cold Coffee,144.0,50
Diet Coke Can,83.2,32
Fanta Can,40.8,15
Filter Coffee,33.0,11
Glass of Coke,277.4,95
Glass of Sprite,88.0,37
Green Tea,13.0,6
Iced Coffee(Black hot Coffee With Ice),34.4,4
Lemon Iced Tea,124.4,35
Masala Chai,126.4,35
Monster Energy Drink,21.6,7
Monster Ultra Zero Sugar,7.0,4
Peach Iced Tea,61.8,21
Red Bull Green Dragon Fruit,18.2,13
Red Bull Regular,45.0,21
Red Bull Yellow Tropical Fruit,7.8,4
Shikanji,26.6,8
Sprite Can (300 ml),34.2,19
Thumbs Up  Can - 300 ml,124.6,41
Water Bottle,101.8,41
