User,User Type,Restaurant,Date,Time,Week Day,Order ID,Reference ID,Item name,Vendor Name,Item Type,Food Type,MRP Item,Quantity,Note To Kitchen
a99b41fe45d602ebbf82ad6e86f20ae0,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,09:30:00,Monday,D1001243,'228191236335',Masala Chai,,V,Food,FALSE,1,
a99b41fe45d602ebbf82ad6e86f20ae0,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,09:30:00,Monday,D1001243,'228191236335',The Club Veg Sandwich,,V,Food,FALSE,1,
c610bdd2fdccb15f83d05b0e1893f976,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,09:30:00,Monday,M1002847,'22819265502',Crunch It Burger,,V,Food,FALSE,2,
2f9bd881587814ed2f5376c6c6308c7e,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:00:00,Monday,F1003456,'228193221624',Iced Coffee(Black hot Coffee With Ice),,V,Food,FALSE,1,
2f9bd881587814ed2f5376c6c6308c7e,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:00:00,Monday,F1003456,'228193221624',Coke Can - 300 ml,,V,Food,FALSE,1,
2f9bd881587814ed2f5376c6c6308c7e,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:00:00,Monday,F1003456,'228193221624',French Fries,,V,Food,FALSE,2,
e6db399f654bfe685b19c75c36eb8b3c,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:00:00,Monday,F1009630,'228193741487',Expresso Single Eye Opener,,V,Food,FALSE,1,
e6db399f654bfe685b19c75c36eb8b3c,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:00:00,Monday,F1009630,'228193741487',French Fries,,V,Food,FALSE,1,
f08a74601266e389db7bd54d163e6454,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:00:00,Monday,G100B088,'228195442760',Cold Mocha,,V,Food,FALSE,1,
08f12a8a02c030946619be9a39b40d4d,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:00:00,Monday,L100C398,'228195750257',Cheese And Corn Sandwich,,V,Food,FALSE,1,
08f12a8a02c030946619be9a39b40d4d,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:00:00,Monday,L100C398,'228195750257',The Basic The Chutney Cheese Sandwich,,V,Food,FALSE,1,
e2aef7f9d433f9e37473d962cb4654f8,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,B100D292,'228110855480',Coke Can - 300 ml,,V,Food,FALSE,1,
3718156f88c0c191b24016b3c9f5ef44,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,B1018828,'2281102710375',Cheese And Corn Sandwich,,V,Food,FALSE,1,
af68fb4b3b5906a7ddd4bbfedf75da88,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,C100E387,'228110175359',Cheese And Corn Sandwich,,V,Food,FALSE,1,
85a710d5f1c6ae95e9c633f8f766c2c8,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,C1010868,'2281101745688',Cheese And Corn Sandwich,,V,Food,FALSE,1,
85a710d5f1c6ae95e9c633f8f766c2c8,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,D1015868,'228110266702',Kinley Water Bottle,,V,Food,FALSE,1,
69f149eb2fe39b07a60c26996647182c,employee,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,J1014811,'2281102312374',Cold Caramel Coffee,,V,Food,FALSE,1,put a little more sugar
69f149eb2fe39b07a60c26996647182c,employee,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,J1014811,'2281102312374',Iced Coffee(Black hot Coffee With Ice),,V,Food,FALSE,1,put a little more sugar
9083e1abd501d75dfaa2468ce32476e4,employee,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,N2017715,'228110274434',Shikanji,,V,Food,FALSE,1,
b6ddfaa87d0499a5d45621369fcad2f9,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,10:30:00,Monday,O1019585,'2281102727511',Cheese And Corn Sandwich,,V,Food,FALSE,1,
a1a128c0d23f5d0cbfd1717d0fc82d63,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,A1022597,'228110571046',Cheese And Corn Sandwich,,V,Food,FALSE,1,
a1a128c0d23f5d0cbfd1717d0fc82d63,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,A1022597,'228110571046',Chocolate Chips Cookies,,V,Food,FALSE,1,
6ccb59cf22ca90632bd62998ffe6fb4b,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,B101B040,'228110408680',Chilli Cheese Sandwich,,V,Food,FALSE,1,
6ccb59cf22ca90632bd62998ffe6fb4b,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,B101B040,'228110408680',French Fries,,V,Food,FALSE,1,
6d274dc0ddf86723099cab99c58e62cd,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,B201F276,'2281104925386',Streetology Burger,,V,Food,FALSE,2,
6d274dc0ddf86723099cab99c58e62cd,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,B201F276,'2281104925386',French Fries,,V,Food,FALSE,1,
6d274dc0ddf86723099cab99c58e62cd,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,B201F276,'2281104925386',Chilli Cheese Sandwich,,V,Food,FALSE,1,
609f547095a8bce1ea4cfd1ca1e9d9c1,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,E101E635,'228110462586',Chilli Cheese Sandwich,,V,Food,FALSE,1,
609f547095a8bce1ea4cfd1ca1e9d9c1,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,E101E635,'228110462586',Chilli Cheese Sandwich,,V,Food,FALSE,1,
609f547095a8bce1ea4cfd1ca1e9d9c1,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,E101E635,'228110462586',Streetology Burger,,V,Food,FALSE,1,
9083e1abd501d75dfaa2468ce32476e4,employee,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,P101D715,'2281104148908',Kinley Water Bottle,,V,Food,FALSE,1,
88a241957c4947f0fd2aee9abe916779,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,Q1020088,'2281105321966',The Next Level Tomato Cucumber Sandwich,,V,Food,FALSE,1,
8ecfa54e929a970daea4b863beee997e,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:00:00,Monday,R101A054,'2281103613694',Coke Can - 300 ml,,V,Food,FALSE,1,
edc50828c4ae1e05e062579f434daede,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,B102C343,'2281111742741',Kinley Water Bottle,,V,Food,FALSE,1,
1a7f7f5c6527f8baf848fb30d9bb98d9,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,C1023721,'228111238437',Chilli Cheese Sandwich,,V,Food,FALSE,1,
6d274dc0ddf86723099cab99c58e62cd,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,C102A276,'22811110138',Iced Coffee(Black hot Coffee With Ice),,V,Food,FALSE,1,
edc50828c4ae1e05e062579f434daede,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,C102E343,'2281112030553',Filter Coffee,,V,Food,FALSE,1,
77ff423ac29103d0b13e6d87f4864103,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,D1026019,'228111445857',Shikanji,,V,Food,FALSE,1,
77ff423ac29103d0b13e6d87f4864103,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,D1026019,'228111445857',The Basic The Chutney Cheese Sandwich,,V,Food,FALSE,1,
f360f919b50f8f0c3f47f231cb054dbc,employee,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,D1028266,'228111730388',French Fries,,V,Food,FALSE,1,
1a7f7f5c6527f8baf848fb30d9bb98d9,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,D102B721,'2281111642801',Cold Caramel Coffee,,V,Food,FALSE,1,
c5160a9cdc5e8af05092f102210a7748,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,F102D855,'228111202446',Cold Mocha,,V,Food,FALSE,1,
c5160a9cdc5e8af05092f102210a7748,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,F102D855,'228111202446',Cold Mocha,,V,Food,FALSE,1,
c5160a9cdc5e8af05092f102210a7748,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,F102D855,'228111202446',French Fries,,V,Food,FALSE,1,
66fd08172b05aa31529a9e7163e8344e,employee,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,G1025662,'228111326391',Crunch It Burger,,V,Food,FALSE,1,
66fd08172b05aa31529a9e7163e8344e,employee,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,G1025662,'228111326391',Chilli Cheese Sandwich,,V,Food,FALSE,1,
124412483e9eeec5050806873cd1b95e,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,G1027072,'228111624210',Cold Mocha,,V,Food,FALSE,1,
3466c871d7b118b2ed88f41f95368cfc,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,H1029508,'228111823906',Cold Mocha,,V,Food,FALSE,1,
3466c871d7b118b2ed88f41f95368cfc,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,H1029508,'228111823906',Cheese And Corn Sandwich,,V,Food,FALSE,1,
c6cab09e6aa647eea5ac2ace23364bed,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,11:30:00,Monday,Q1031082,'2281112447553',Cheese And Corn Sandwich,,V,Food,FALSE,1,
88a241957c4947f0fd2aee9abe916779,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,12:00:00,Monday,A1001088,'2281113231694',Expresso Single Eye Opener,,V,Food,FALSE,1,can u pls make the americano strong ?
88a241957c4947f0fd2aee9abe916779,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,12:00:00,Monday,A1001088,'2281113231694',Iced Coffee(Black hot Coffee With Ice),,V,Food,FALSE,1,can u pls make the americano strong ?
f8e84b01691765c75d99ca716cf4506d,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,12:00:00,Monday,A100A633,'2281115348425',Expresso Double  Eye Opener,,V,Food,FALSE,1,
81462baf6dfab83ac79e9983027b1f63,student,AHMEDABADCAFETERIA:cafedelice,01-08-2022,12:00:00,Monday,B1007916,'2281114439443',Chilli Cheese Sandwich,,V,Food,FALSE,1,
8fbdb9c929eb2bdae9f34a5231ffb88f,employee,AHMEDABADCAFETERIA:cafedelice,01-08-2022,12:00:00,Monday,B1008167,'2281114826596',French Fries,,V,Food,FALSE,1,
