User,User Type,Restaurant,Date,Time,Week Day,Order ID,Reference ID,Item name,Vendor Name,Item Type,Food Type,MRP Item,Quantity,,,SGST,CGST,UGST,CESSGST,Total GST,,Discount,Payment mode,,Txnid,Channel,Counter,Cashier,Status,Parcel Charges,,Convenience Fee,Note To Kitchen,Upselling,Card Type,,Delivery,Lat,Lon,Address,Contact number
bbdf467dc0ea40280fe3757d2a9695aa,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,09:00:00,Thursday,G1002603,'2212185740270',"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT471536Z221201032742772,app,-,-,done,0,,0,,No,,,,,,,
c8ea26db1a5b759f3162a8d962ac62e8,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,09:00:00,Thursday,H2003487,'2212185742499',"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT109634Z221201032746349,app,-,-,done,0,,0,,No,,,,,,,
d73d17912e74ba6bfe53a326b0c57aca,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,09:30:00,Thursday,A1006805,'2212192523244',"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT248609Z221201035526295,app,-,-,done,0,,0,,No,,,,,,,
d73d17912e74ba6bfe53a326b0c57aca,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,09:30:00,Thursday,A1006805,'2212192523244',Cappuccino,,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT248609Z221201035526295,app,-,-,done,0,,0,,No,,,,,,,
87c2480e9e6afd912e9c6d43db81dde4,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,09:30:00,Thursday,D1005771,'2212192338972',A Clear Sunrise (2 Egg Sunny Side Up),,E,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT178213Z221201035342964,app,-,-,done,0,,0,,No,,,,,,,
d74465452d24964bd834bdecaceee5a7,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,09:30:00,Thursday,E1004970,'2212191959614',Green Tea,,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT201666Z221201035001753,app,-,-,done,0,,0,,No,,,,,,,
0a28b2fe0188b19462d1bcd6cd7442bd,staff,AHMEDABADCAFETERIA:cafedelice,01-12-2022,09:30:00,Thursday,M1008870,'2212192542605',Americano,,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT163063Z221201035545647,app,-,-,done,0,,0,,No,,,,,,,
7ea7619db55222dc470fdd226ec2ce39,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,10:00:00,Thursday,B1011744,'221219459710',"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT454718Z221201041513389,app,-,-,done,0,,0,,No,,,,,,,
7ea7619db55222dc470fdd226ec2ce39,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,10:00:00,Thursday,B1011744,'221219459710',"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT454718Z221201041513389,app,-,-,done,0,,0,,No,,,,,,,
466884bea266179dd57a53f01becb93f,student,AHMEDABADCAFETERIA:cafedelice,01-12-2022,10:00:00,Thursday,B1013891,'221219514838',"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT281337Z221201042151379,app,-,-,done,0,,0,add more maple syrup on top,No,,,,,,,
